timestamp,LL,LC,LR,RL,RC,RR
08/09/2022 14:53:08:088502,1915.93,1847.51,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:090345,1915.93,1852.39,166.18,34.21,1935.48,2815.25
08/09/2022 14:53:08:094009,1911.05,1852.39,171.07,29.33,1935.48,2815.25
08/09/2022 14:53:08:096141,1915.93,1852.39,171.07,34.21,1935.48,2815.25
08/09/2022 14:53:08:099769,1915.93,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:101761,1920.82,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:104101,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:105099,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:109457,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:113272,1915.93,1842.62,175.95,29.33,1935.48,2810.36
08/09/2022 14:53:08:115265,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:115265,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:119172,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:123082,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:126825,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:128509,1915.93,1852.39,171.07,29.33,1935.48,2815.25
08/09/2022 14:53:08:129507,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:134462,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:136514,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:140529,1915.93,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:142233,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:146693,1915.93,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:147743,1915.93,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:147743,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:153632,1911.05,1852.39,171.07,34.21,1935.48,2805.47
08/09/2022 14:53:08:153632,1911.05,1852.39,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:159553,1911.05,1847.51,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:159553,1911.05,1852.39,171.07,29.33,1935.48,2810.36
08/09/2022 14:53:08:159553,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:167429,1911.05,1847.51,171.07,34.21,1930.60,2810.36
08/09/2022 14:53:08:169451,1911.05,1847.51,166.18,29.33,1935.48,2810.36
08/09/2022 14:53:08:172967,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:172967,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:177044,1911.05,1852.39,166.18,34.21,1935.48,2810.36
08/09/2022 14:53:08:178041,1911.05,1852.39,171.07,34.21,1935.48,2810.36
08/09/2022 14:53:08:182530,1911.05,1852.39,166.18,34.21,1930.60,2810.36
