timestamp,dot_x,dot_y
07/06/2022 14:20:04:738174,0.0,8.0
07/06/2022 14:20:07:771840,1.0,8.0
07/06/2022 14:20:10:875151,2.0,8.0
07/06/2022 14:20:13:701794,3.0,8.0
07/06/2022 14:20:16:659449,4.0,8.0
07/06/2022 14:20:19:351031,5.0,8.0
07/06/2022 14:20:22:347468,6.0,8.0
07/06/2022 14:20:25:028700,7.0,8.0
07/06/2022 14:20:27:785394,8.0,8.0
07/06/2022 14:20:30:720479,0.0,6.0
07/06/2022 14:20:33:605705,1.0,6.0
07/06/2022 14:20:36:600559,2.0,6.0
07/06/2022 14:20:39:344486,3.0,6.0
07/06/2022 14:20:42:282211,4.0,6.0
07/06/2022 14:20:45:781019,5.0,6.0
07/06/2022 14:20:48:734563,6.0,6.0
07/06/2022 14:20:51:730965,7.0,6.0
07/06/2022 14:20:54:664439,8.0,6.0
07/06/2022 14:20:58:062887,0.0,4.0
07/06/2022 14:21:01:030476,1.0,4.0
07/06/2022 14:21:04:025574,2.0,4.0
07/06/2022 14:21:07:054452,3.0,4.0
07/06/2022 14:21:10:078200,4.0,4.0
07/06/2022 14:21:13:362465,5.0,4.0
07/06/2022 14:21:16:388316,6.0,4.0
07/06/2022 14:21:19:681167,7.0,4.0
07/06/2022 14:21:22:733962,8.0,4.0
07/06/2022 14:21:25:949765,0.0,2.0
07/06/2022 14:21:28:973987,1.0,2.0
07/06/2022 14:21:31:967328,2.0,2.0
07/06/2022 14:21:35:310197,3.0,2.0
07/06/2022 14:21:44:729244,4.0,2.0
07/06/2022 14:21:48:020556,5.0,2.0
07/06/2022 14:21:51:240867,6.0,2.0
07/06/2022 14:21:54:271233,7.0,2.0
07/06/2022 14:21:57:550904,8.0,2.0
07/06/2022 14:22:00:757518,0.0,0.0
07/06/2022 14:22:03:721552,1.0,0.0
07/06/2022 14:22:06:625046,2.0,0.0
07/06/2022 14:22:10:072860,3.0,0.0
07/06/2022 14:22:12:981338,4.0,0.0
07/06/2022 14:22:15:820497,5.0,0.0
07/06/2022 14:22:18:542120,6.0,0.0
07/06/2022 14:22:21:416309,7.0,0.0
07/06/2022 14:22:24:200708,8.0,0.0
07/06/2022 14:22:28:063317,0.0,8.0
07/06/2022 14:22:31:034903,1.0,8.0
07/06/2022 14:22:34:012041,2.0,8.0
07/06/2022 14:22:36:843470,3.0,8.0
